         table_name          | table_schema |      column_name       | ordinal_position |        data_type         | is_nullable |                     column_default                     
 platform_settings           | catalog      | updated_at             |                3 | timestamp with time zone | NO          | now()
 platform_settings           | public       | id                     |                1 | text                     | NO          | 
 platform_settings           | public       | settings               |                2 | jsonb                    | NO          | '{}'::jsonb
 platform_settings           | public       | updated_at             |                3 | timestamp with time zone | NO          | now()
 platform_settings           | saas         | id                     |                1 | text                     | NO          | 
 platform_settings           | saas         | settings               |                2 | jsonb                    | NO          | '{}'::jsonb
 platform_settings           | saas         | updated_at             |                3 | timestamp with time zone | NO          | now()
 product_branch_availability | catalog      | product_id             |                1 | uuid                     | NO          | 
 product_branch_availability | catalog      | branch_id              |                2 | uuid                     | NO          | 
 product_branch_availability | catalog      | available              |                3 | boolean                  | NO          | true
 product_branch_availability | catalog      | price_override         |                4 | numeric                  | YES         | 
 product_branch_availability | catalog      | packaging_fee_override |                5 | numeric                  | YES         | 
 product_branch_availability | public       | product_id             |                1 | uuid                     | NO          | 
 product_branch_availability | public       | branch_id              |                2 | uuid                     | NO          | 
 product_branch_availability | public       | available              |                3 | boolean                  | NO          | true
 product_branch_availability | public       | price_override         |                4 | numeric                  | YES         | 
 product_branch_availability | public       | packaging_fee_override |                5 | numeric                  | YES         | 
 product_modifier_groups     | catalog      | product_id             |                1 | uuid                     | NO          | 
 product_modifier_groups     | catalog      | group_id               |                2 | uuid                     | NO          | 
 product_modifier_groups     | catalog      | sort_order             |                3 | integer                  | YES         | 
 product_modifier_groups     | catalog      | required               |                4 | boolean                  | YES         | 
 product_modifier_groups     | catalog      | min_select             |                5 | integer                  | YES         | 
 product_modifier_groups     | catalog      | max_select             |                6 | integer                  | YES         | 
 product_modifier_groups     | public       | product_id             |                1 | uuid                     | NO          | 
 product_modifier_groups     | public       | group_id               |                2 | uuid                     | NO          | 
 product_modifier_groups     | public       | sort_order             |                3 | integer                  | YES         | 
 product_modifier_groups     | public       | required               |                4 | boolean                  | YES         | 
 product_modifier_groups     | public       | min_select             |                5 | integer                  | YES         | 
 product_modifier_groups     | public       | max_select             |                6 | integer                  | YES         | 
 product_modifier_groups     | saas         | product_id             |                1 | uuid                     | NO          | 
 product_modifier_groups     | saas         | group_id               |                2 | uuid                     | NO          | 
 product_modifier_groups     | saas         | sort_order             |                3 | integer                  | YES         | 
 product_modifier_groups     | saas         | required               |                4 | boolean                  | YES         | 
 product_modifier_groups     | saas         | min_select             |                5 | integer                  | YES         | 
 product_modifier_groups     | saas         | max_select             |                6 | integer                  | YES         | 
 rtc_session_stats           | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 rtc_session_stats           | catalog      | session_id             |                2 | uuid                     | NO          | 
 rtc_session_stats           | catalog      | side                   |                3 | text                     | NO          | 
 rtc_session_stats           | catalog      | ts                     |                4 | timestamp with time zone | NO          | now()
 rtc_session_stats           | catalog      | metrics                |                5 | jsonb                    | NO          | 
 rtc_session_stats           | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 rtc_session_stats           | public       | session_id             |                2 | uuid                     | NO          | 
 rtc_session_stats           | public       | side                   |                3 | text                     | NO          | 
 rtc_session_stats           | public       | ts                     |                4 | timestamp with time zone | NO          | now()
 rtc_session_stats           | public       | metrics                |                5 | jsonb                    | NO          | 
 rtc_session_stats           | saas         | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 rtc_session_stats           | saas         | session_id             |                2 | uuid                     | NO          | 
 rtc_session_stats           | saas         | side                   |                3 | text                     | NO          | 
 rtc_session_stats           | saas         | ts                     |                4 | timestamp with time zone | NO          | now()
 rtc_session_stats           | saas         | metrics                |                5 | jsonb                    | NO          | 
 rtc_sessions                | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 rtc_sessions                | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 rtc_sessions                | catalog      | basket_id              |                3 | text                     | YES         | 
 rtc_sessions                | catalog      | cashier_device_id      |                4 | uuid                     | YES         | 
 rtc_sessions                | catalog      | display_device_id      |                5 | uuid                     | YES         | 
 rtc_sessions                | catalog      | provider               |                6 | text                     | YES         | 
 rtc_sessions                | catalog      | started_at             |                7 | timestamp with time zone | NO          | now()
 rtc_sessions                | catalog      | ended_at               |                8 | timestamp with time zone | YES         | 
 rtc_sessions                | catalog      | summary                |                9 | jsonb                    | YES         | 
 rtc_sessions                | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 rtc_sessions                | public       | tenant_id              |                2 | uuid                     | NO          | 
 rtc_sessions                | public       | basket_id              |                3 | text                     | YES         | 
